Latitude,Longitude,Elevation,Slope,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Aspect,Soil_Clay,Soil_Sand,Landslide_Probability,Risk_Class
46.866192728605895,11.513296249032315,1200.0,35.0,8.329166,22.9,-3.8,867.0,121.0,38.4,228.0,18.0,41.0,0.5379087161395957,MITTEL
46.61713294732987,11.866765119131644,1839.0,12.0,5.491667,19.2,-5.8,959.0,133.0,38.9,67.0,15.0,41.0,0.30919618169124635,MITTEL
46.60975414430544,10.781621323699676,981.0,18.0,9.725,25.0,-3.0,633.0,82.0,34.0,12.0,16.0,45.0,0.6444294865969009,HOCH
46.72649965208715,11.21345889358257,874.0,32.0,9.758334,24.9,-2.7,767.0,102.0,34.4,265.0,14.0,47.0,0.8768322785725746,HOCH
46.54774589060285,11.69544092799202,1523.0,30.0,5.9874997,20.0,-5.4,821.0,112.0,40.5,101.0,13.0,46.0,0.3913662124157994,MITTEL
46.74039941434829,11.43577304101998,1669.0,27.0,5.4583325,19.4,-5.7,777.0,107.0,40.4,118.0,14.0,45.0,0.424047846472322,MITTEL
46.56569779003112,11.52480224307359,602.0,21.0,10.879166,26.5,-2.4,809.0,96.0,29.5,7.0,16.0,47.0,0.8269522392684874,HOCH
46.25263267528175,11.253602783375406,667.0,36.0,10.816667,25.9,-1.8,746.0,89.0,27.3,314.0,19.0,39.0,0.8193826841679148,HOCH
46.91499097215181,11.69023325235342,1541.0,35.0,5.5625,19.7,-5.8,983.0,137.0,38.9,229.0,13.0,47.0,0.40333853591695057,MITTEL
46.88300081672436,11.719059773228317,1209.0,31.0,7.6958337,22.4,-4.7,918.0,132.0,39.8,205.0,12.0,49.0,0.4351409161396868,MITTEL
46.8920815335991,11.407146326332382,1170.0,24.0,6.804167,21.0,-4.4,866.0,121.0,41.2,174.0,14.0,48.0,0.6695057946399826,HOCH
46.439694016427765,11.479957914985633,1203.0,21.0,8.833333,23.6,-3.1,683.0,88.0,37.5,295.0,14.0,47.0,0.74665605103961,HOCH
46.87713260842906,11.492272443680095,1147.0,31.0,7.262501,21.5,-4.1,882.0,122.0,40.8,223.0,13.0,48.0,0.6579319447205234,HOCH
46.89012953717707,11.455083352876368,1070.0,29.0,8.316667,23.0,-3.9,875.0,122.0,38.4,313.0,15.0,45.0,0.574940293124202,MITTEL
46.48512789628533,11.438533921734685,737.0,21.0,11.083333,26.7,-2.2,806.0,91.0,27.6,334.0,16.0,47.0,0.8323966921313813,HOCH
46.53931421594158,11.388833833101238,1017.0,27.0,9.55,24.6,-2.6,703.0,91.0,36.3,292.0,16.0,45.0,0.9183687886974005,HOCH
46.87557337934325,11.49720301415909,1218.0,32.0,7.262501,21.5,-4.1,882.0,122.0,40.8,176.0,12.0,51.0,0.6445300530723925,HOCH
46.48833504854909,11.24696177673015,464.0,22.0,11.691666,27.6,-2.0,805.0,94.0,28.0,40.0,15.0,48.0,0.7980974643260986,HOCH
46.48020445847947,11.26211888112004,318.0,15.0,12.454169,28.6,-1.6,860.0,106.0,26.7,107.0,16.0,48.0,0.6623315999427011,HOCH
46.65019664168008,11.361238427619169,1011.0,32.0,8.479166,23.3,-3.6,746.0,100.0,38.1,272.0,12.0,49.0,0.6701449314183058,HOCH
46.87631852966007,11.424746909111176,1331.0,29.0,7.5958333,22.0,-4.1,862.0,121.0,40.0,0.0,13.0,43.0,0.5588901593074612,MITTEL
46.86259739826822,11.484053217456225,990.0,30.0,8.3625,23.0,-3.9,861.0,120.0,38.6,17.0,12.0,48.0,0.5472035624922386,MITTEL
46.74019373594007,11.437264466866798,1622.0,26.0,5.4583325,19.4,-5.7,777.0,107.0,40.4,154.0,14.0,45.0,0.45762715003924387,MITTEL
