mean,median,std,min,max,p25,p75,p90,p10,range,cv,label,class
35.74807,33.08487,19.440756,0.15062845,89.998184,20.324575,48.8217,63.5939,12.399149,89.84756,0.5438267,0.0,Non-Landslide
55.67311,58.00741,19.736862,0.11078889,89.99985,41.354515,71.22191,80.574524,27.41023,89.88906,0.35451338,0.0,Non-Landslide
47.6196,47.387703,19.661291,0.0690534,89.992836,33.417984,62.166668,74.312706,22.054804,89.92378,0.41288233,0.0,Non-Landslide
53.900333,56.715904,21.615368,0.07034815,89.99974,38.06877,71.28878,80.90613,23.050945,89.92939,0.40102476,0.0,Non-Landslide
53.337578,54.87163,20.267624,0.11488386,89.9993,38.640167,69.213104,79.64255,24.78889,89.884415,0.37998772,0.0,Non-Landslide
47.62634,47.66685,19.884977,0.07308749,89.99926,33.472893,62.31443,74.38426,21.130947,89.92617,0.41752058,0.0,Non-Landslide
55.12826,56.42925,18.315258,0.11318657,89.99919,42.56694,69.05642,78.62969,29.975826,89.886,0.3322299,0.0,Non-Landslide
47.213192,46.626556,18.492006,0.14449213,89.999374,33.524147,60.802025,72.45449,23.127512,89.85488,0.39167032,0.0,Non-Landslide
52.783577,55.26767,21.223753,0.07077973,89.99836,37.357174,69.659775,79.33826,22.159098,89.92758,0.40209007,0.0,Non-Landslide
41.441315,39.583218,22.886866,0.081534274,89.9989,21.54995,59.756905,74.39716,12.498489,89.917366,0.5522717,0.0,Non-Landslide
44.370907,42.116463,20.354702,0.089427374,89.99967,29.59803,58.807297,74.308365,18.701668,89.91025,0.45873982,0.0,Non-Landslide
60.515965,66.19899,21.311821,0.15459016,89.99948,46.64017,77.3431,84.21052,26.661825,89.844894,0.3521686,0.0,Non-Landslide
36.00096,31.778975,24.59661,0.15499568,89.999664,13.848562,55.713684,72.78215,6.5376024,89.844666,0.6832209,0.0,Non-Landslide
56.01194,59.254124,21.202984,0.09776342,89.99932,42.735752,72.444595,81.72051,23.865116,89.90156,0.378544,0.0,Non-Landslide
49.698936,50.88101,21.459393,0.20061038,89.99985,32.625782,66.87808,78.14576,19.823933,89.79924,0.43178776,0.0,Non-Landslide
58.69884,62.891674,20.815195,0.46600148,89.999954,44.670403,75.38956,83.08871,26.808249,89.53395,0.35461,0.0,Non-Landslide
62.934566,67.31919,19.45433,0.12511648,89.999954,52.56171,77.663895,84.34138,34.161125,89.87484,0.30911997,0.0,Non-Landslide
49.79374,49.98418,18.915146,0.099486135,89.99929,35.392048,64.34871,75.04561,24.315372,89.8998,0.37986997,0.0,Non-Landslide
42.89166,42.65173,23.01481,0.20401092,89.99853,22.524391,61.874916,74.34932,12.544561,89.79452,0.5365801,0.0,Non-Landslide
57.92256,62.673553,22.196154,0.13461296,89.9998,45.01848,75.161835,83.15627,23.351002,89.86519,0.38320392,0.0,Non-Landslide
51.036884,51.879078,21.361027,0.092957154,89.999016,35.428352,68.184135,79.401505,20.52043,89.90606,0.41854095,0.0,Non-Landslide
49.03894,49.987843,21.714682,0.102865905,89.9984,31.664951,66.77021,77.60697,19.241081,89.89553,0.44280487,0.0,Non-Landslide
49.92154,51.201233,21.095621,0.16174902,89.99844,34.81206,66.082596,77.74889,19.186874,89.83669,0.42257553,0.0,Non-Landslide
38.8624,39.674305,25.997105,0.07034815,89.99983,15.083697,59.6313,74.75245,2.2276115,89.92948,0.66895264,0.0,Non-Landslide
46.337673,46.027058,21.675379,0.070571005,89.998726,28.617092,64.20594,75.50445,17.219954,89.928154,0.46777013,0.0,Non-Landslide
35.83738,32.37791,19.824717,0.11713018,89.99956,20.378405,48.257107,65.72935,12.788325,89.88243,0.55318546,0.0,Non-Landslide
54.50757,57.47628,21.472025,0.082114406,89.99882,38.501698,71.876884,81.20654,23.428879,89.9167,0.3939274,0.0,Non-Landslide
54.442833,56.970478,20.416376,0.09776342,89.999794,40.220314,70.268166,80.00695,24.682364,89.90203,0.37500575,0.0,Non-Landslide
51.093754,51.990723,21.184132,0.16187857,89.99987,35.062145,68.01512,79.3416,21.697172,89.83799,0.41461295,0.0,Non-Landslide
51.35866,55.426174,24.228508,0.22526236,89.99976,30.002708,71.990555,81.57649,15.124505,89.7745,0.47175115,0.0,Non-Landslide
44.752087,49.90206,27.77035,0.14081752,89.999535,14.844245,69.229965,79.81078,6.669842,89.85872,0.6205375,0.0,Non-Landslide
49.799664,51.202534,21.436321,0.29403284,89.99983,33.280178,67.13356,77.659195,19.060385,89.7058,0.43045112,0.0,Non-Landslide
38.976723,34.6646,23.095398,0.087860115,89.999435,19.474253,57.254616,73.812355,11.326037,89.911575,0.59254336,0.0,Non-Landslide
58.80543,61.26031,18.426838,0.29045194,89.9999,47.00416,72.914856,81.26512,32.654274,89.70945,0.31335264,0.0,Non-Landslide
50.76379,51.53677,19.63745,0.10723088,89.99974,35.92633,66.17014,76.68998,23.746628,89.89251,0.3868397,0.0,Non-Landslide
53.463345,56.18021,21.515757,0.070534445,89.99997,38.699547,70.39569,80.23126,22.116444,89.929436,0.40243942,0.0,Non-Landslide
50.07857,48.535896,20.51314,0.22319147,89.999855,33.812485,66.745926,79.45345,23.750263,89.776665,0.40961912,0.0,Non-Landslide
24.339966,9.803858,25.919243,0.01344152,89.98585,1.8659515,46.34026,64.17676,1.040002,89.972404,1.0648841,0.0,Non-Landslide
38.809208,34.33699,22.279203,0.094141215,89.99891,20.949598,55.382435,73.17464,12.466347,89.90477,0.57407004,0.0,Non-Landslide
42.737373,40.318142,18.35188,0.14605235,89.99967,30.325989,53.554337,70.266075,20.997604,89.85362,0.42941055,0.0,Non-Landslide
49.73581,51.674755,22.489801,0.102514446,89.99853,31.604328,68.12741,79.017204,17.143333,89.89601,0.4521853,0.0,Non-Landslide
53.376358,58.73994,23.946333,0.07047705,89.99953,38.064377,71.771034,81.06742,13.895615,89.92905,0.44863182,0.0,Non-Landslide
55.457542,58.69161,22.26734,0.11759499,89.999695,39.717663,73.80444,82.87966,21.152615,89.8821,0.4015205,0.0,Non-Landslide
56.256794,59.02132,20.27523,0.4004225,89.99949,42.45917,72.0746,81.41679,26.216843,89.59907,0.360405,0.0,Non-Landslide
31.445076,28.64913,24.383324,0.0399864,89.99929,8.260855,50.380955,66.795265,2.236911,89.959305,0.7754258,0.0,Non-Landslide
52.26256,53.729954,21.211386,0.18174538,89.9982,36.348663,69.203186,80.0813,22.452465,89.81645,0.40586197,0.0,Non-Landslide
36.972553,33.27866,18.565523,0.41090155,89.99683,23.070225,48.26378,64.80148,15.874812,89.58593,0.5021434,0.0,Non-Landslide
41.75443,40.32572,21.635237,0.08183619,89.995224,23.598772,58.96635,72.02696,13.799893,89.91339,0.5181543,0.0,Non-Landslide
31.44791,25.037434,24.452463,0.009614216,89.99844,10.198296,50.195698,69.07334,3.9870095,89.98883,0.77755445,0.0,Non-Landslide
53.73823,57.252323,21.301172,0.14157254,89.99953,38.460506,70.255516,79.77451,21.579428,89.857956,0.39638767,0.0,Non-Landslide
38.715187,34.123245,22.207445,0.26169944,89.99966,20.9275,54.838455,73.06305,12.519145,89.73796,0.57361066,0.0,Non-Landslide
51.215717,52.47834,21.305952,0.24080266,89.99957,34.939888,68.29194,79.3823,21.065111,89.75877,0.41600418,0.0,Non-Landslide
41.253723,40.764435,23.595026,0.07459936,90.0,21.763975,60.245632,73.79755,8.913215,89.9254,0.571949,0.0,Non-Landslide
56.099747,58.21141,19.993877,0.30981383,89.999954,42.062477,71.91464,81.299194,27.879322,89.69014,0.3563987,0.0,Non-Landslide
60.62959,63.2515,18.801588,0.115437105,89.99972,47.868553,75.77004,83.74683,33.54039,89.88428,0.3101058,0.0,Non-Landslide
56.84905,60.794586,22.270144,0.11083039,89.999664,43.912228,74.25304,82.97108,22.365137,89.88883,0.39174172,0.0,Non-Landslide
46.33497,45.276516,21.607904,0.2847532,89.99991,28.616325,63.645267,76.80654,18.00979,89.71516,0.4663412,0.0,Non-Landslide
60.105923,63.221466,19.146984,0.29045194,89.999466,47.966133,75.09041,82.91088,32.436592,89.709015,0.31855404,0.0,Non-Landslide
28.852716,21.979025,22.80191,0.009614216,89.99844,10.112114,44.321503,64.70426,4.4401064,89.98883,0.7902864,0.0,Non-Landslide
54.69179,56.352047,19.478237,0.2535617,89.999435,41.2154,69.57596,79.83812,27.38366,89.74587,0.35614553,0.0,Non-Landslide
32.43707,31.138031,28.269693,0.01540517,89.99961,2.352116,57.38314,72.23217,0.9761789,89.98421,0.8715243,0.0,Non-Landslide
48.385075,48.16094,19.231558,0.0995152,89.99991,35.38267,62.054195,74.57263,23.265724,89.90039,0.3974688,0.0,Non-Landslide
48.09715,47.88393,19.351109,0.0995152,89.99991,35.037876,61.840637,74.42227,22.66716,89.90039,0.4023338,0.0,Non-Landslide
55.246525,58.139465,20.898497,0.071726345,89.99942,39.896355,72.143456,81.10677,24.397041,89.9277,0.37827712,0.0,Non-Landslide
21.697481,9.535462,24.632957,0.07077973,89.99905,2.757155,35.721844,64.34248,1.4958684,89.92827,1.1352911,0.0,Non-Landslide
41.945374,41.966137,21.089607,0.097633116,89.99967,26.505674,56.991802,70.567024,12.970209,89.90204,0.5027875,0.0,Non-Landslide
52.082294,54.20347,21.716976,0.07867248,89.99932,35.247524,69.76465,79.987724,21.20679,89.92065,0.41697425,0.0,Non-Landslide
48.42772,47.660618,20.953299,0.30819175,89.99891,31.545774,65.29092,77.794525,20.80427,89.69072,0.4326716,0.0,Non-Landslide
41.51934,38.63954,21.340887,0.35529298,89.99879,24.801777,57.634666,72.86279,15.202155,89.64349,0.5139987,0.0,Non-Landslide
54.459454,59.1086,23.742031,0.1256591,89.99967,39.1361,73.34155,82.49789,16.406538,89.874016,0.43595794,0.0,Non-Landslide
50.13776,53.372124,24.26184,0.07056394,89.99936,29.892372,70.6778,80.7505,14.606443,89.928795,0.48390356,0.0,Non-Landslide
52.11413,54.228798,20.543802,0.14145936,89.99878,36.857307,68.403786,77.96968,22.774675,89.85732,0.39420792,0.0,Non-Landslide
56.429665,59.597446,20.726618,0.27661392,89.99974,41.955936,72.84551,81.835655,25.954185,89.72313,0.36730003,0.0,Non-Landslide
47.410904,46.47708,19.598303,0.36996076,89.998085,32.364704,62.279877,74.68871,21.830765,89.62813,0.4133712,0.0,Non-Landslide
54.553493,57.355927,21.299255,0.0690534,89.9988,38.734665,71.94977,81.122375,22.828243,89.92975,0.3904288,0.0,Non-Landslide
58.807755,62.062447,20.153135,0.33045882,89.99978,45.122505,74.93281,83.29007,28.72246,89.66932,0.3426952,0.0,Non-Landslide
53.923275,56.200394,20.356333,0.47544318,89.99975,38.75488,70.22928,79.61124,24.792364,89.52431,0.3775055,0.0,Non-Landslide
